EAN,ITEM_NUMBER,DESCRIPTION_1
92188305,6050513,GYBHFZQU
88494470,28553446,RBSLNKVZ
98776866,16020789,RHMSXXNL
96268154,97480237,EGZHFWRA
4964130,40764096,ZNWSDLAZ
89607464,2805161,DOMVTDJJ
95989625,70204530,OCXFQAXF
33513752,69798180,AVQUGGOC
39161135,87677699,OLIEIITH
61936660,89392179,MBBGGLSS
73926713,26906574,DVBQQAHU
26244034,4017205,JCCSRACJ
4534747,69221251,DDEIZWDB
21896676,99487654,CVOETJLZ
99796776,21357515,PMOVASXL
13634029,75032499,PRGVJQEW
30786435,80823220,RPJILNEM
21811338,64840382,EVEISSWQ
81407050,42083580,DFLMMAXD
44707416,66002683,LANNUBGR
72691581,61220123,HQCTFMZR
53415430,29204075,DDRMYDGN
62342672,9126842,PEHIAVPD
78703767,88597855,JQVHASLD
70149152,44552009,WRPVKOIR
62013426,22140161,PIKTBRTX
20310421,82559559,WZHZTTSF
58335205,20339360,SXMRFJML
63578306,23063656,XIIPCFOM
45132810,74406711,OCOWRYBR
49703614,75507530,JAWDBPBB
39405184,3104865,WCXOJVYR
28748581,17173648,IMARAMAX
72782006,21050645,AKRIYNCE
15092862,97689776,MRDCKAVY
52783758,29240351,HUOJHHXB
86744172,77486663,OARTPYUS
95460448,65880383,LWZESHCQ
7628288,88837234,ILIELSZR
32071463,4331982,WHMEBOJI
86323453,25111371,RIGUGXKI
15877613,57925193,NYAKPNGP
1907246,70345047,KQQFOKZC
12945351,4309482,BHWOPMEI
7804986,47866565,WPYXZXAZ
10435018,16768848,XLGFDKVX
97126425,46793038,GAGVNFNT
51115435,18837989,DDUCAXIW
27108502,19496655,PWBLHNHC
53732897,51939802,ZXTMDPLE
61956248,86637180,ECIFTSOP
83829474,1482347,ZDDXIBZK
87979703,69899893,DPGRZTXI
63222015,75057560,FMXWEZUG
1002746,76860842,WUSLYZNW
66853788,44591963,NRARTFWP
49678212,70101330,GAJYRVZD
95917391,69218888,QEEBVBGR
3404477,47276063,MKVLJVKK
44020720,44826245,RJUZNJLJ
84894165,85516483,PPXRFTQI
28791607,7742138,MTPQYZLK
52274384,92835917,JPQKOECN
87407543,19207675,SBYWARKZ
35237715,14690113,RIYELWWA
56516176,6231662,PHREEGOK
45244503,24717329,DWXRAIZY
4287768,68418542,NTJTCBWN
78055677,25230441,XGDULNGV
2427196,25297622,GQKZVXAJ
78507339,83346578,VSUUOKTN
48768682,64615250,UWJAVKSG
28182169,50245668,LHDLRFUS
64247786,33902645,BAAFNAIW
24435412,3057801,RJKYWZJQ
80081769,7566030,TZHJLDEA
35225706,90463479,KLLWTPCQ
7434937,85501417,OUVPNGIF
60238655,32722586,FNFOOTYE
34931411,81187884,HDQJSVGW
28034042,59652117,ISGEOQVN
89466572,99774688,LSGCOMAL
53158318,29364532,GHKTNLPJ
84877824,23139042,NBEJPCIB
38297945,90273208,INZCXZIM
45924001,66829217,CTFMWCXM
24235787,88253181,KFBYKOYQ
1814244,94104537,OWCIRSIM
62996637,38106923,ARKLEGAJ
22961194,90223347,FDJWPLYK
15111823,89885781,KDTCJXVS
66565483,76609501,OVEORUWX
95240517,98429162,IGYVDMOB
71579101,66911739,YZWSUPZH
90750801,78975494,WYIUPXVO
75261542,88102630,BOZALLIX
1951100,18402771,YGSTCNMV
61566460,50961898,GWNUNSBJ
78084926,26040676,IQBXZPUB
8821149,96969118,JHDQCAUX
79194589,27406369,HPSITKTT
18755407,45677837,ONYHHAQS
45699048,51035504,QXZZSVGL
35764571,97359858,FTSPWHSV
16589875,83573865,QZZFJEIG
58440065,89441266,VUAQOXUW
75731513,79500572,IJYFKFXY
89562270,17763514,FGTKMTPT
96555768,82835696,MRTTPTBP
71911871,54969707,TUXXZZLM
74135681,66967541,POXFQMKJ
78091976,89104903,MYZRXUZF
82172168,84944374,EDYHIYMJ
11339517,92547701,WYGXFIRQ
90084810,8174535,PAYFJJVS
91267797,11916814,REKTYXYC
87192862,97410807,XKGBFMFU
15407965,19535838,LJRSEKUT
30050786,81839727,WVRUSNZH
14603549,17576712,GESKAHKQ
86766953,51644748,QOQXBEME
6587118,8553271,AUQJFWMW
61076703,91526306,HXJNMFFL
78727962,18805296,PAJGIMIV
78317581,81956511,SIYAXXFR
59575373,3483603,GVYRBMTW
77097782,89698806,AQRJBDVL
26980169,7771694,DMOGVHUN
34060177,27124510,AJUTQNJP
4016265,3605566,XKFKHCTK
60863805,46221320,VVVRIPMA
67836999,36910985,EFKRLOXU
1479897,84024534,ZOBCKTWV
29100803,66558075,TWIIESVR
11765058,40934704,IICTVYXW
5998661,32866670,JDVWOMUV
16558647,21510431,QHCYFJVN
63773168,77463649,ZYELVZOI
47166482,63721751,WYOAUFRA
68749765,73030911,BAQQBLJS
37938020,36128348,VEJXVTWF
6905567,45252036,SEWMPAVQ
16548156,81883068,NEJRFWOJ
7344580,80054841,KJAUDBZK
56347437,11455752,RUPWPYMJ
15136048,1368829,HVIRNQKP
85420361,68006468,TYVCTQMQ
66470365,72282164,CSJAURQI
40677609,91499897,OPMFEENF
62311177,83272690,IVUNFXXR
96543134,65452892,LBQTFOIQ
69440719,80059080,WRTQETZP
63991102,35237050,NKDCFUVG
60972085,54098960,HBPXIVXM
63923447,64343089,CRFHOKPP
71764548,90307109,ZHNYHBJV
68441545,97399008,SAUYRCXN
1373428,64707167,UMNVDGZF
99675999,42589733,YMMZAZRT
41062490,45899527,HFNOAJYR
32698354,33954840,IKATAANA
88018853,72788417,SJSCPZGP
64636767,51377806,KPOLRENL
36553757,22264903,BOUGDINS
18122635,98238751,JIOZNYKA
36689154,90325331,YICELCDO
41066486,25404358,IADYJMCC
46734940,53456085,NMYSYXHD
60242490,63290215,UOAGOBYO
7149750,55339674,ZJKNRDXR
63111299,60606523,JNVKDWOY
23260063,64933802,USTXXDNV
78274607,90340860,TUXFJLSF
62157196,98839350,GBBBUVWW
17978754,11194448,UHFIBNPD
24400958,88368612,HQRSZHWQ
33701981,26965722,UPWFQSHP
45217464,81698801,KKQWEPDB
65696993,68337784,NSMZZABF
14091108,92222556,ALPSPDQK
72580058,62691889,QPRSTHQX
15538639,28052990,TJUBNJRP
31060524,53443671,KNLZSJQW
3516752,36258862,CTIEDGWN
35685223,92376456,SSEYZVOK
60203708,97012006,ECKHFGRB
98369619,38348776,EMJMDZCN
1739321,15666004,XJCFTTXH
56317211,97188957,TWQMFZWH
41118049,14985758,KMCIQOYY
86371704,73478237,MGJHFSGZ
4900637,95922734,GBIEJBJA
73172720,31292487,GVAWRWME
76486670,7547389,PIYEVUMG
37060625,34027318,NBGHKSOC
66324147,9643423,XCWGWBGC
97781126,95931869,CKBKDAIX
84900805,56263697,GCGZNRMM
92485324,47355112,LLQUDWJA
1958345,42598257,RSUPOCFN
39692676,78103757,IAQLHUVP
85876554,19901116,ONSKBNEL
73037600,8497510,PUCRWSCD
27982423,55249666,UGCSTCGR
21495897,13748870,VCJUTIUS
51967216,56434986,WUPLGDMJ
63212875,13334349,YOCROSDG
72885268,13936535,ZFPGKMEE
47875279,84306418,XAPCZJJG
5593567,68934870,OQKRQILN
27542244,25331315,LPJKXLZX
85264353,48237059,DXIHIMWQ
29656529,82786298,KKUHXVAL
9640264,97857998,BTCNDNKW
5963262,47102106,JWQZPBPC
17262578,61047207,QFOPLGPK
63204960,34909460,JHSYIQTJ
19831738,95311283,KJLWRLCJ
16973615,43711287,EBRXOQYE
69344182,57362496,VDGBLOOT
34060568,18090189,PPGYCFKY
54394821,40669505,JKYYKCTD
8024415,79836155,CRMSXYSS
81630696,41435626,SRCDICDT
75179858,51832896,FKOZIOQN
27458343,11503988,QLQHIPOQ
23894347,17581297,LDITHSAW
56659082,42645658,ZIJRCRRO
76586397,41406658,IKVGETTM
29360820,7697164,QGEHEUCQ
95483727,45956946,ETHOTUJD
15695524,80506293,KSWRGPVD
10797107,34786791,VAJMSMSH
76336979,25029681,NCGSAFJE
75845949,51516116,ZJGUKFHZ
81642021,77339395,RQVUODRV
26918299,4955864,YNSSSGEZ
43733395,38548622,WSHXSTNN
7969129,70623181,ZAHQINSP
91459408,59005906,MNPXGWAO
98324679,11150500,EFVTVIFW
71462011,81445946,OIVBVDCM
92992861,84963812,HUSLHCSJ
31320763,82554842,QOMZVPSQ
85916502,22486506,TSFRLLYV
88684412,11923468,BATEAUNJ
43695235,99198433,JSBFBPDF
72611609,66707639,OPINGBCW
35513713,31905513,CINAIMAA
55680539,58564619,DIZTLUZH
78693427,82971309,BDSLQKUX
92599783,43661522,IWPKRVHK
1699724,57229585,SIOYQGPD
9859573,8021401,UMQEKHOR
13483535,61795134,EESVLKUE
13712353,17988833,AWDLWRJJ
6679481,26461462,SDJPDUZM
64051790,77726725,BZJMZBSX
71666291,54574242,DAXLAYGZ
25653090,26759548,MBFNVGZA
61978576,90554378,PCWZSHPM
63270530,81024626,BPLXIIAD
52980255,15108366,SXRXUWYJ
24517479,70758187,GOPJKHMW
7479146,47146051,CBJEXHOR
84355269,76283124,ZZYETHWO
7286485,73731165,TZWVPYUH
41016251,33529597,PGVFGUHO
11765652,15587915,ABBYKRBE
76046714,60757993,RZZBITIU
47089809,41823154,PKNJXLFO
92034892,31440890,EZRDBQTB
43255269,63589747,WGUKTGIU
38939452,17785811,RIQZQWPO
26433932,63785976,AHTTZEHP
91337112,86530250,KLZFCSAV
26590071,89813988,XVBBEPGA
70906267,25708608,RWPYWSDG
30965914,32841375,ZGGOTUHV
97930204,1890079,QFGRERGC
49056914,38578644,GEYIJFBY
79111355,18640884,ZDDDMVAR
45271605,33126707,LGEWOKUI
47135841,81001529,SCIKKKBY
31498474,67177984,YOWFARPE
68971302,42222017,NENEFDZG
18690786,57302258,XKCEHHQX
42731936,9731366,BQYVCWGG
89657319,8300761,NFXNIGZB
82415389,54483739,BIZCVACQ
11648292,71000281,RPPZDTLV
17147746,95940779,HFNAARZR
54417570,89455501,ARXDYTGW
69965271,99774994,TMLGGTPI
20370614,13253964,AWDELSID
83632422,20970697,NZVVHRJC
30620708,5898863,BKKFSMQM
11081458,71277997,JMVNBBWR
76660725,4681811,HXJOTUIZ
59312985,37125142,DSXJKUWA
31781489,68239259,NFTSSLBJ
3367627,93122255,ZFIQJLHM
20329572,95193381,JTRKXTJV
99407405,73620319,MAZKAIAA
55257504,61693178,KDWAVQBM
93050576,7314054,QESSWSXC
63223663,26830072,KHEOUNQX
15500250,87180582,KKTXSICV
40408363,53479904,GCRZTOHV
74041910,1787756,ZLMVUIEO
5981118,77205888,CDDPVJAW
71903051,96468272,IVXNXWOS
13049181,26983829,WZCRLLNC
78321833,67659870,XOXFYJSH
28434757,84657657,AXXMUGRK
68170076,81088267,HPLHDXJC
23774774,84057420,CEYCEWRF
31388638,25242301,WZZKNUEW
99385964,30755408,GVXJACOD
73591951,29560761,HFAOODVF
13372864,98218027,VIKKUCYB
41312519,87030106,GVREMRST
89242406,58607024,KAUBWTKW
82035986,38363753,FEYNNYHT
13197514,44030957,QKLVGJRM
83372435,1253069,FJNIVFBG
90963631,10230191,TQZDHWXU
5756782,79451257,CZTJDXNS
81354084,96161863,IDFBDLDY
93004279,98503035,LDREVPAO
92810210,46412753,JJLLGQXT
87599693,27450376,GQGYRSWF
83323266,87055975,CZXDPJSK
2473804,97349783,TLGMUZLF
65417855,64438595,JILMIFAS
40616109,48453835,NFFWVQDU
58777537,60135131,ACNNJAGC
99433063,7779820,FWRPIZFH
20439684,25227097,DKUEBNNH
73234464,26594299,ZDJEZXVM
24837237,69144393,KIPWWRUM
8937855,37732232,GLIXQDBZ
75983101,91657451,PZYGRPIH
44688452,30338879,ICKAKAPV
5520953,28517414,UWDSSKRO
4324808,4028339,TRNHASFC
46883572,43176371,PXCZZFKR
77385773,45934745,WCWYYTHG
82252364,47718616,GGJMDJNA
75069722,31003313,LMLKKDAZ
25007175,82187100,OLXAWEXF
53615925,38479998,BFJHHBXO
84873995,58470402,QEGWAHSW
1505864,59420530,MYRISCVX
98550872,82634060,CCSHJPJJ
91702240,17772293,FDWBUUOE
18749195,73660238,DHUSQJNA
84921980,83467430,SZGJAEAX
11764532,23952198,KSQYNTZH
98352657,15048532,RZCEICIH
92799791,39278598,PTCOHNBY
90791830,2786443,ELWVOZFN
80009731,20170673,RUUTZDMM
97654063,78998516,LUZXKPRJ
73933538,19162927,ZEMBFEOG
99966096,4216676,JZFCBPQI
94655483,49723728,DRAAAFXT
27076870,51890760,HCACLBAV
59095186,48891056,AEEZNMLF
20789240,29849162,IJBIGQBA
95667618,86876398,SLCNSPLE
4404051,78194427,ZEFEOGQD
22546003,89275019,IXDPYZPR
46290334,4942530,FUMSENCN
87582260,90739231,FELJUFYS
29934490,45990395,YUBCAHML
81373716,74452592,EPHDIFRW
33740216,1195362,HEWXUTOK
60820677,88719458,TWCHJYVT
75780877,15425032,UZDUQLGK
96637360,44915692,WIUGNSSK
37799334,87838048,MBOBPBUL
77115827,54741867,WVXYYBTK
71610411,26492076,JUKHORSQ
82164882,41465838,RXHGOEVH
62596146,54256104,DQDQVEMC
9036515,52738227,CWUTUTJN
29428226,66712067,JHVWWHQG
36475337,86194593,JLTSXOOP
58100828,82349719,RZDBGUCV
49128881,11075885,FTMSXHGH
92350206,14814879,OJKJEIQU
40061587,66755696,BFHLHWXU
8905708,31105461,TYFQFUSQ
42614336,83760499,UHITMVEL
90524687,19358009,RMPGIKOJ
80063629,60140500,OZQMPDHS
22981755,44741215,UBVHOIXI
72016807,86545679,UTUFSDRZ
46222959,39450580,HKPLSEYU
86317256,39195794,QGVDHVPN
90830498,62030043,MZRQYVEY
98790511,70982075,YVMGWWRT
41039053,86394770,NXERPKIG
9226098,21215238,UNZYROHE
82531900,32008902,OVMZHLPH
38910633,22509083,XHQBPXAK
96163856,21906692,GHHTNPDP
7571950,59070953,RDVQBZNE
76746620,94841581,FVTGYJPX
98611258,61674831,BIZYOQWW
85335235,21760302,RKCXEAHY
94422716,83958639,NGDYKLXO
89723527,72889874,IVZBLOKR
62487687,39665136,GZTWLARH
98503908,82152154,TYUKODDD
9672418,91756731,TQQNOSML
12525362,69479404,XLEKOMTF
29756761,94744199,RDKHGYCX
3396959,28753739,ZLOWRVNY
78100232,3451805,MOHBJQOU
73275431,25064371,JABZDWUK
74503661,92021869,EWQSJPHA
77254363,81848102,FEEQBBIF
91861495,27212887,JYDRPKRW
37549891,4369906,CBAXSGKC
72762865,18395341,ORLQDDEG
53659192,95136980,PCWLZJQY
58904862,1484794,ACVGJEET
42417296,57368820,LYSLNSGV
92434007,24286658,SMRJTSIW
97068375,63337801,LJOXNPQO
70532754,55593993,UZPBPAYD
6342477,92394523,DPMILMBZ
17972861,88827501,GWQWUUIZ
37996365,59914063,IZFWZWSK
42123055,88642930,TGRYVJJR
20569335,41151470,MEQDKXTI
3140871,26784817,VGAERGVP
85153292,20655419,RGLTHINQ
5783054,99559122,BOJYNABT
44157797,14222851,VEBCKEKJ
94736216,61341975,UKMGYHDN
56387848,72550315,NFMZDVHC
7838152,91623439,UGBWJPGI
66873487,99919217,OZQCBOLC
96397839,43215787,POOLBMFT
82121100,58389185,CBNAQHBE
69968016,37477059,RUYRIRFG
97254009,14484953,VHWBJCQN
21551466,49872980,YPDLWCGC
63157588,44756601,HAWXVUYM
25230146,55870245,IBFUSJUZ
43207407,48534892,DIBZLPKY
64877354,87459648,JZMQKACW
54382719,16656795,WGAWTLVM
17208897,82355669,LMVMNQOB
10989059,88123032,KIVFOOMV
29941626,16880609,TLEILCSI
77891206,35481084,HLNZXCQI
78526474,74782074,MXQGEGKZ
23271177,51632918,JLLYZPBJ
29509532,72120820,RFLSBYSL
16546112,59118829,MFFFJOVG
68282044,58718517,CWKAFNNA
25713683,13697735,SQBOJNUI
21133486,21164335,YSQFYAIT
3158225,66338072,CXQDOZPJ
11644400,3611677,KMXBKJDC
67642012,58154733,GPDQLXFD
7446492,3759498,JTDUFOYL
65816055,35422613,ARHRLYZB
66818948,72920396,LMXRQELM
92586480,54562992,DOMJLOOP
93341420,78131313,KZNYRSQG
48027170,33528968,CSCEYADC
40266168,50623254,SEJJCUNP
23254023,98887456,NMLJPTNY
56320277,84808058,EBAVRIJK
47321778,53726459,VAZCCTZB
28632282,50771869,PVEZDUEX
33420368,98868469,MWNSVOCK
64383537,73523101,AYZEGDDI
15232504,40287604,EMNHLBEU
31084823,98507820,KAVVJAAM
3233104,59018469,BJDCYDWF
50682387,74577317,ZYDLMTFL
65277356,77757342,COYKEZNM
15310776,21906335,QDFOIEKG
90300129,86458903,DQQBAAUO
19092557,9354285,BVDXMXRD
40990381,95240257,IHKIYSIH
88616499,4353517,QYHGVAPP
87507019,86430497,GZSEFVLY
83153716,72855477,DLPBPOOK
53466916,49117018,QAKDDIXQ
32350969,99191821,BUYCJUJE
46764482,4767603,IKVOLANP
73533339,81990443,BOUQDEJV
89987881,71057043,IYKVNZOB
48522385,6828830,YSVEJCJH
16698705,59165727,FMOLCPNZ
24380980,66551442,GBPLBZAA
11456646,47692952,FHZOPTHD
96438856,85776723,QDSNTHKA
99662925,75774247,XZEKQCIL
11644284,20546818,DVRISERU
48561731,40806603,ZDPNDEKS
53668730,84421853,DPQCXGKV
72660662,2262169,LRWYSDOP
48668235,68460525,RJCBEXMF
54599647,60883456,RKQPUYFQ
57940131,7209433,SWDGOHJE
71705606,62102533,EVCMZHXD
19536260,67980147,FSAVPBXI
41936766,28629206,KBNQGUCF
12845851,76548263,SOABIEWT
17633692,91198921,NEYCGFUA
33035704,93707922,GOYBVZOS
5941276,52102382,XTKDJGXO
6495916,34756660,CICMAASE
8448583,86877918,FLACMDNL
33149847,73112904,UBVJKQMD
49330939,97148588,YLIANUYA
25849607,18058989,ABNLAMBQ
99232546,71391103,RAKFUVMW
8342234,12654371,OHDCVPFD
54235465,57139545,HSZWXBAE
57047605,20587212,UPBQTVCT
8992572,32443542,KDGOXIWV
4770998,15216466,EOAKNIXA
99904877,91724373,YVEHYNGC
48931273,88645364,AMTDPYJJ
20891612,64838637,AEPLDXAT
1033462,51730418,CJCWNKNF
22623084,46387942,HOOZDHJB
32980457,41227215,VBOFOWDO
53392137,75595426,OLYRQUUA
90125213,28475679,BZHAJZWM
33704564,70595701,EJJKMEZV
5269297,19505458,HHADAAKJ
79583516,63506930,ZPYVXLYH
57024584,91849897,YJFRZHHE
40801240,41288669,IMKGKPIN
93261048,40235406,YHHISNHK
14380250,81721668,OBSVAALB
96819824,69368295,BFABNKQN
66791109,25967253,MGZVYJVB
26804258,16063796,XXXPZZLC
51913096,73688999,JSIJJRLO
89993145,10490319,AZJBLJUJ
88817511,32212604,BBRGJTKP
42736066,9713491,PWEKDKAE
62041685,76815927,WZHFYPVP
61954401,80970060,FZDYGHGH
2995603,54235118,CQEGLLWL
99377330,41112038,LFXUTHCI
95869050,11446074,KEOBHNWV
7073332,21288318,TQSCUJFV
16665581,42456428,HJOEGGLN
98922012,74966414,YQCIONBL
13769615,81522566,JLEODWKR
16720415,38291809,PFTWKFSE
5357548,73053919,NBYVWXEV
3903001,65263568,RKRAPIIT
53291114,1554155,FHKQNEKK
8249447,19851336,PCBVDVPF
13246322,77433328,EZJONCKV
69955784,41758199,MLCIAAYD
29918334,80173793,KMVAQTRV
36362103,10170926,EONJPZUK
8733253,66690411,NAKIRXWG
25983395,55536648,FUZYVXNR
63352633,90926395,OTYIEBXN
14450276,7373598,WDSHJFLZ
9755271,30926727,IIDNUEBH
80216826,88758186,MNAEOWKV
70697336,92474666,BEPSMSVF
70208836,71742537,NXCIKXBI
76972988,4010241,VETCWCVR
15777623,45442016,MBMBYJIJ
19012971,58216659,TIKLVQYG
81311037,77363442,QAEKEVLP
67057564,49772760,KSTNYSIV
80254622,48951724,BASYDLDE
42254915,86844752,HQGGTEON
96959060,64718040,RLFGOAKH
46711046,64667736,CAAUCVZR
83901085,64814573,NXOWBTJG
59700010,74011304,QRLMLBDX
2227761,91214964,KCAZZCVT
88917853,11788682,AYVUYIYO
79266787,58584504,RECUDGPY
63819176,42471276,IQNLKGLL
54116548,24592039,BPVEGRXK
60323532,64410501,DRKRYNET
81729319,24090259,DECNOJFI
9478638,24845694,BFHTEUTQ
96336585,49885871,PTBYJQWC
91101907,1685609,UBTGTRAX
97501030,54124658,WEMOPQUO
86050834,58032000,WLGEWKHC
88767880,98265164,RUGXEZDL
43793472,1218455,GPZUNLMY
83788246,12535626,RYEIPYAZ
30065503,16428474,NWBCLXIZ
2631298,50985450,GTLHUAEJ
43852785,19485886,SXNRBWFK
42385559,34897583,DHBJDKRH
53397907,79872395,FMBMIEWQ
6261557,87453111,YJROTRGY
48148127,83927877,UJTYSHBZ
29766363,69315584,HTAVCWYR
94443858,16877580,MOVEYHUD
9393263,76179324,JGUYGVJA
98575629,8535255,VHCGKBMY
6402791,49076636,SVRXAWEC
98419355,30024475,ZEBRXYNT
79855354,92977021,RUBXOFCQ
1729028,63474577,DABVKKCB
58821392,88578140,JOJXRRLB
33507671,87784164,KMDBMYXO
50546776,22058319,DTPEDMVJ
76461701,38242145,AUCOZWRJ
86054610,43660543,AYGMDVOT
37711114,10506739,BORZGBSK
28435576,20641629,ZPEYATPN
40173611,6956604,KXJLRIKE
35193728,93692387,TVWJOQKD
79837304,32575186,ADDVNPKJ
50197593,61050328,OZCVECZP
59986805,87708160,JPYSOUYR
20676003,9506125,PBAKCSDB
52681925,40315103,MAYSCPUR
38567765,5144331,FQNDNOQQ
83629437,35836095,BVMMGFIA
39757566,30554299,NVODRSSP
53790200,52259090,ZQXDWKTN
33792645,66257719,XFXWLCRZ
38308888,66342411,UHWWTBCN
26662824,69079259,VPKORBAS
98471876,14424071,AVNHWDHY
4972778,50018329,ZZHUJJVQ
69321062,94795026,PJEPGZWS
92701455,56711711,XOGQGIEE
54855040,97811128,WRQRICXB
17018338,16632743,JHZSGZEZ
83557610,59496627,KLNMJDWB
30531553,40339152,HEDFTEYN
72708058,67662466,KLTLZJJQ
42394342,49479724,FUDNSTWD
33129770,19454193,DEAKDCII
31273163,97644936,VHDWCXGL
27886884,55700371,MBLBGAXN
4212282,21982674,IEXOTCUX
66776638,88166173,HHIUPGEE
74910251,85585864,ZGFWOTKU
89304851,59565868,UVUYCVIV
71221759,62354504,EBRRNHLZ
86439345,65442043,DOVMACQM
76058476,54455369,EJHWBPND
92870425,79166523,GGOHQAJN
55858535,82502363,ZPITZWXG
76157352,4324979,YHGMZNPO
98397343,69428395,CTEWOGSE
97036030,66071347,EJLQYNCT
90682854,29151719,CJTVVLVW
65664430,17769319,FCWEMQYG
62982294,15860386,ZRTMDSTF
70526099,85846040,VNFBUHPK
30120847,98119688,BRDRMNVF
37600484,85718993,IMSMFLHP
12067086,46338378,MVTZKUJA
30248801,35101447,DREEDKCE
12213948,72477620,WCACOLID
11849079,23914653,UIZLMAQX
57517970,82708889,YUWJVFSO
68171557,88350420,WNLIKTWD
33262630,65887029,YTEISMGF
8509747,68373646,EJNAMTNU
6624889,8314159,XFYZKTOD
56235276,49223954,JUXBYIQT
37218516,21707891,QRNFUGMG
40448276,67251701,HAMOCMRD
67110614,49581744,VBAEXPOZ
26068355,76569083,ZCCPCAHZ
91628464,61575896,XUAKNTHG
59996695,46332376,GIEJERXO
93485728,5844467,NUSVEAUV
34114609,80803331,GILCEQDF
33393460,79529165,IHVUILDR
13410417,63409612,KBKNSQYC
54708950,26103908,WJEFVRCY
61410210,8429404,CUVMXBGI
65137957,76673174,WQUFBYEB
97755137,76802522,KQFRBJHD
70953462,32815387,YCCMEBEC
51686067,25836962,EJTXHYOH
56122554,7080678,RQRFYYTF
89031756,62672772,VYYJUVII
59810335,43650767,JTTYUZQS
59682963,44266478,HPQRFDLO
2332839,37954499,UDVGDZHM
55332080,52898531,GFUNKXCK
91639434,29984503,WJYFRBGP
48735983,31176349,ECOGOTVU
17275851,96560782,AFPXJDFX
44468866,98915447,IVQXQHLR
95263886,93636170,ZXDWXBGC
57518158,17136008,QTPUMOAT
71790355,36704460,AHJPBHXA
80584060,84292451,SKXNGWXU
54390632,34305852,JEGKPRGG
2708568,15062624,DNDMVVUM
78612105,21883562,UOUNVKMG
56464223,73338337,JHUYNUGX
51297297,20756476,OGYEVIVK
89386021,70039360,HQEMWTWZ
53346688,37409065,CKQQNDPV
11317760,71429483,MRYWMSFB
69062174,92099311,XXHBCMBA
96956633,28871847,DMXYZXEI
33336043,97846375,DQKHJIQG
91300987,36548956,RCVTECFQ
87832074,44795076,UBSGBFYD
19633859,49098436,CSCJNLSJ
66519815,91527027,WPMOHAUA
47799077,44274198,OSHTIOGJ
77277414,19618281,YTJNKTRW
22293234,99850228,IFOAWUVK
38715974,5922620,UYVAUDOI
48540664,48311080,MWSVYBLX
91956183,89514258,OJUCAHBU
86920013,38950496,CHTCQBDA
17627774,50104343,FFOIXKTJ
60105593,37352756,NFXOZYXF
5535644,82726103,HJFIDCNJ
69326812,42215171,QGMJUISG
86672804,22045907,GHSNAMDE
77554516,3032344,QBUDZJHQ
25063724,67964349,OACNBXXL
60727449,93996523,EFWYQZYQ
86630871,12645822,ZXHCBBRW
35314599,67777471,MRPOYXUT
83539193,63458813,FZWGLYEE
72205540,96463170,NFCXQZEH
63009188,81573854,EUVNNXZB
58785051,72907096,MRXAWUIA
23976079,64516637,GGSFJSJE
32829882,92803302,BSQPXCHK
60709656,12924517,IZSLXFAN
96065253,18255866,TFHWROXV
68309495,39348670,VKPRHQUL
27768223,87884879,CLYDRAGG
86022353,52397832,ZRJVWLNF
76468844,15506648,IRXBNAXI
98495117,46153742,CSRZQAGE
6643750,64069335,SZZPTEMW
44232777,58266225,RWPDVBSX
98159671,47143714,IDIYZBXF
59642740,62649779,WOUFTUDT
50737503,32557641,WJPYMNET
39683103,56493610,VJGKHTOV
83809963,32004406,YNISAOFD
72279779,96247544,ZUEXBPOL
62221673,98154466,FNBABUVS
15593471,93934322,FUVEGTQE
1202570,78699745,SVXCPIBS
25492158,74128648,TLREAFJB
1749816,90702423,ILGCKMCZ
34604633,74857990,QSVIXCGT
77931382,10903913,RQENNEER
25700433,15691490,AZIZXDAR
70164865,61121155,PLRSAEJF
15583970,73902662,ZIORFFSZ
99522247,64895050,LRKGBRYT
38289750,79453056,CKERCTAD
29051041,95923726,WHQPVYID
26799909,59700895,ABJOPETJ
56077625,3472633,INVJQXGI
84295867,69083449,EQXLELCF
14575311,32528576,NALDGHJY
93077372,53332564,NLVRKQVQ
54214342,37972998,TAEPMULJ
86985873,73853398,UGAWZWAF
46337176,23141815,RZYOVJNQ
46486796,60437088,XTFRKYFY
44837198,59832957,JMQTLBYX
82403960,77816965,FAIKIXAO
35133406,48913012,HZPIDIZE
4568735,76645852,AWEIXFKQ
55058051,64591538,QZOUQAGT
7177610,59296037,JOMRKARH
41778026,80174744,ZFCKIABS
61656706,32400642,QHDJFHSF
70620015,17671207,LPYBSDEM
23434954,59280524,NGZFLCRA
41455931,99752849,ZBXWLUZB
86500183,4025702,KYKDDUJK
12801373,61816865,RIHJMBLS
63565790,17846599,WPNKDELD
9831602,1868520,KXIOTXET
72553711,54823562,HJDUWJXK
87864064,10738639,PINYIAYQ
62734995,50227989,UGKITQVM
62181016,17354298,QHTHNBWZ
25124653,63311931,ASDMQUJQ
40298972,28404005,YGRHLAKS
59232316,25541625,RYMJMBMF
21976192,98321990,ZBSCTDIX
18095379,50927498,TLKEYMQI
15442141,12251102,YZYGBEWP
90765969,10771644,DCIXDHTQ
15086700,18813397,SUNBTJMG
25178847,34905606,BRZZXPGC
30256958,21684214,JZVHWWEP
82385004,8390264,MQEMUCTP
6475245,11111276,TQAFAKGL
32849461,72856354,NGQQRCQE
91933552,87545525,CMUVNZZJ
16501328,52084168,HVYZNSYB
54615368,31775426,GQCJRVKO
